hour,avg_sentiment
"2026-03-27 15:00:00",0.10000000149011612
"2026-03-30 23:00:00",0
"2026-03-24 00:00:00",0
"2026-04-07 15:00:00",0
"2026-03-08 23:00:00",0.06818182021379471
"2026-03-24 18:00:00",0.1071428582072258
"2026-03-10 01:00:00",0.12878788262605667
"2026-03-25 02:00:00",0
"2026-03-27 05:00:00",0.10000000149011612
"2026-04-03 18:00:00",0.20000000298023224
"2026-03-24 22:00:00",0
"2026-03-20 00:00:00",0
"2026-03-13 18:00:00",0
"2026-03-16 19:00:00",0.3181818127632141
"2026-03-23 22:00:00",0
"2026-04-01 02:00:00",0.0625
"2026-03-13 16:00:00",0
"2026-03-17 01:00:00",-0.009595959447324276
"2026-03-10 03:00:00",0.2142857164144516
"2026-03-31 15:00:00",0
"2026-03-25 19:00:00",0
"2026-03-29 22:00:00",1
"2026-03-20 19:00:00",0.13636364042758942
"2026-03-23 23:00:00",0.44999998807907104
"2026-03-15 22:00:00",0
"2026-03-27 03:00:00",0.09166666865348816
"2026-03-19 17:00:00",0
"2026-04-01 01:00:00",1
"2026-03-29 20:00:00",0.6071428656578064
"2026-04-05 05:00:00",0.16818182170391083
"2026-03-29 18:00:00",0
"2026-04-07 18:00:00",-0.07500000298023224
"2026-03-12 03:00:00",0
"2026-03-18 23:00:00",0.24583333730697632
"2026-03-18 02:00:00",0.05000000074505806
"2026-03-27 01:00:00",0
"2026-03-24 14:00:00",0.20000000298023224
"2026-04-07 22:00:00",0.13636364042758942
"2026-03-25 16:00:00",0
"2026-04-06 15:00:00",0.13636364042758942
"2026-03-27 00:00:00",1
"2026-03-24 21:00:00",0
"2026-04-07 20:00:00",0
"2026-03-31 01:00:00",0.13636364042758942
"2026-03-21 18:00:00",0.10000000149011612
"2026-03-23 17:00:00",0.800000011920929
"2026-03-09 22:00:00",0
"2026-03-27 18:00:00",0.13636364042758942
"2026-03-17 19:00:00",0
"2026-04-04 03:00:00",0.13636364042758942
"2026-03-16 18:00:00",0
"2026-03-26 02:00:00",0
"2026-03-24 02:00:00",0
"2026-03-26 04:00:00",0.13636364042758942
"2026-03-28 20:00:00",0.13636364042758942
"2026-04-02 21:00:00",0
"2026-03-19 04:00:00",0
"2026-03-16 21:00:00",0.6000000238418579
"2026-03-26 23:00:00",-0.06562499701976776
"2026-03-08 19:00:00",0.5
"2026-03-25 22:00:00",0
"2026-03-16 20:00:00",1
"2026-04-03 03:00:00",0
"2026-03-11 20:00:00",0.13636364042758942
"2026-03-11 19:00:00",0.13636364042758942
