Datetime,Open,High,Low,Close,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2026-05-28 13:30:00+00:00,310.67999267578125,312.760009765625,309.6000061035156,311.70001220703125,7569372
2026-05-28 14:30:00+00:00,311.70001220703125,311.9700012207031,311.04998779296875,311.82501220703125,3612059
2026-05-28 15:30:00+00:00,311.82501220703125,311.94500732421875,310.3074951171875,310.44000244140625,3704416
2026-05-28 16:30:00+00:00,310.44500732421875,311.6199951171875,309.57000732421875,310.79998779296875,3879761
2026-05-28 17:30:00+00:00,310.81500244140625,311.0199890136719,310.1099853515625,310.8399963378906,3474234
2026-05-28 18:30:00+00:00,310.7900085449219,311.3550109863281,310.25,311.31500244140625,4929905
2026-05-28 19:30:00+00:00,311.31500244140625,312.55999755859375,310.9700012207031,312.5,4816549
2026-05-29 13:30:00+00:00,311.7749938964844,315.0,311.5,313.67498779296875,8454465
2026-05-29 14:30:00+00:00,313.6600036621094,314.05999755859375,310.4200134277344,311.79998779296875,5826258
2026-05-29 15:30:00+00:00,311.8299865722656,312.0199890136719,310.45001220703125,311.1900939941406,2789979
2026-05-29 16:30:00+00:00,311.20001220703125,311.69000244140625,310.20001220703125,310.4200134277344,3360906
2026-05-29 17:30:00+00:00,310.4200134277344,310.55999755859375,309.5299987792969,310.260009765625,3479522
2026-05-29 18:30:00+00:00,310.260009765625,311.6300048828125,310.2099914550781,311.44500732421875,4045756
2026-05-29 19:30:00+00:00,311.45001220703125,313.1099853515625,311.3599853515625,312.07000732421875,5323698
2026-06-01 13:30:00+00:00,309.5350036621094,310.92999267578125,307.79998779296875,307.8399963378906,10175199
2026-06-01 14:30:00+00:00,307.80999755859375,308.4700012207031,306.29998779296875,306.5751037597656,5691006
2026-06-01 15:30:00+00:00,306.55999755859375,307.260009765625,305.489990234375,305.7200012207031,4171810
2026-06-01 16:30:00+00:00,305.739990234375,306.5299987792969,305.0299987792969,306.4700012207031,3705835
2026-06-01 17:30:00+00:00,306.5199890136719,308.3999938964844,306.30999755859375,307.8699951171875,3768496
2026-06-01 18:30:00+00:00,307.864990234375,308.32501220703125,307.3299865722656,307.42999267578125,3948458
2026-06-01 19:30:00+00:00,307.43499755859375,308.0400085449219,305.909912109375,306.32000732421875,5261936
2026-06-02 13:30:00+00:00,307.4599914550781,310.4700012207031,306.7200012207031,310.3399963378906,7411659
2026-06-02 14:30:00+00:00,310.375,312.92999267578125,309.260009765625,312.7099914550781,4895435
2026-06-02 15:30:00+00:00,312.70001220703125,313.1499938964844,312.0400085449219,312.489990234375,3617660
2026-06-02 16:30:00+00:00,312.4800109863281,315.1000061035156,311.8999938964844,314.67999267578125,5289704
2026-06-02 17:30:00+00:00,314.67999267578125,315.45001220703125,313.7550048828125,314.239990234375,3783245
2026-06-02 18:30:00+00:00,314.2598876953125,315.2200012207031,314.19000244140625,314.7650146484375,3482397
2026-06-02 19:30:00+00:00,314.760009765625,315.44000244140625,314.0299987792969,315.19000244140625,4596467
2026-06-03 13:30:00+00:00,314.17498779296875,316.94000244140625,314.0,314.3500061035156,9396189
2026-06-03 14:30:00+00:00,314.3699951171875,314.6499938964844,310.30999755859375,311.6600036621094,6549146
2026-06-03 15:30:00+00:00,311.6400146484375,312.19000244140625,309.510009765625,309.7601013183594,6552624
2026-06-03 16:30:00+00:00,309.760009765625,310.4649963378906,308.8500061035156,309.2099914550781,3649007
2026-06-03 17:30:00+00:00,309.19500732421875,309.9800109863281,308.9800109863281,309.8399963378906,2467933
2026-06-03 18:30:00+00:00,309.8399963378906,310.5400085449219,309.2699890136719,310.4150085449219,3123761
2026-06-03 19:30:00+00:00,310.4150085449219,311.1000061035156,309.20001220703125,310.3800048828125,6562646
2026-06-04 13:30:00+00:00,313.30499267578125,313.5400085449219,309.90008544921875,310.25,9640009
2026-06-04 14:30:00+00:00,310.260009765625,311.3500061035156,309.79998779296875,310.3999938964844,3601740
2026-06-04 15:30:00+00:00,310.4100036621094,311.1099853515625,309.6499938964844,310.6300048828125,3102831
2026-06-04 16:30:00+00:00,310.6300048828125,311.7900085449219,310.4800109863281,311.6650085449219,3514607
2026-06-04 17:30:00+00:00,311.6700134277344,311.9750061035156,310.989990234375,311.4200134277344,2206917
2026-06-04 18:30:00+00:00,311.4100036621094,312.07000732421875,311.35919189453125,311.94000244140625,2612939
2026-06-04 19:30:00+00:00,311.94000244140625,311.9599914550781,310.260009765625,311.1600036621094,4150477
2026-06-05 13:30:00+00:00,312.989990234375,315.1700134277344,312.3999938964844,313.42498779296875,10660699
2026-06-05 14:30:00+00:00,313.4200134277344,314.75,312.239990234375,313.42999267578125,4746478
2026-06-05 15:30:00+00:00,313.4200134277344,314.14990234375,311.8500061035156,312.0,4534835
2026-06-05 16:30:00+00:00,312.0050048828125,312.1499938964844,309.5799865722656,311.510009765625,7722107
2026-06-05 17:30:00+00:00,311.4949951171875,312.79998779296875,311.3800048828125,311.5260009765625,4435527
2026-06-05 18:30:00+00:00,311.5400085449219,312.0199890136719,307.1499938964844,308.9100036621094,11256615
2026-06-05 19:30:00+00:00,308.8800048828125,308.9800109863281,307.3599853515625,307.3900146484375,7276594
