hour,avg_price
"2026-05-18 13:00:00",254.47999572753906
"2026-05-18 14:00:00",252.6199951171875
"2026-05-18 15:00:00",251.77999877929688
"2026-05-18 16:00:00",250.41000366210938
"2026-05-18 17:00:00",249.38499450683594
"2026-05-18 18:00:00",248.40989685058594
"2026-05-18 19:00:00",248.6199951171875
"2026-05-19 13:00:00",247.8300018310547
"2026-05-19 14:00:00",246.52999877929688
"2026-05-19 15:00:00",246.02000427246094
"2026-05-19 16:00:00",246.25
"2026-05-19 17:00:00",246.48019409179688
"2026-05-19 18:00:00",245.88999938964844
"2026-05-19 19:00:00",246.5399932861328
"2026-05-20 13:00:00",248.94009399414062
"2026-05-20 14:00:00",248.42999267578125
"2026-05-20 15:00:00",250.33999633789062
"2026-05-20 16:00:00",253.22500610351562
"2026-05-20 17:00:00",253.1300048828125
"2026-05-20 18:00:00",253.6699981689453
"2026-05-20 19:00:00",253.7899932861328
"2026-05-21 13:00:00",254.12010192871094
"2026-05-21 14:00:00",254.14999389648438
"2026-05-21 15:00:00",254.4300994873047
"2026-05-21 16:00:00",255.14219665527344
"2026-05-21 17:00:00",254.30999755859375
"2026-05-21 18:00:00",255.65499877929688
"2026-05-21 19:00:00",255.69000244140625
"2026-05-22 13:00:00",252.125
"2026-05-22 14:00:00",255.1199951171875
"2026-05-22 15:00:00",254.11000061035156
"2026-05-22 16:00:00",255.3350067138672
"2026-05-22 17:00:00",255.14500427246094
"2026-05-22 18:00:00",255.1199951171875
"2026-05-22 19:00:00",255.88999938964844
